,desc,type,node,existing_2030,capacity_2035,capacity_2040,capacity_2050,expand_2035,expand_2040,expand_2050,pmin,allow_curtailment,fuelcost_2035,fuelcost_2040,fuelcost_2050,fuelcost_ref,pavg,inflow_fac,inflow_ref,cost_scaling,p_maxNew,lat,lon,comment,output_2035,output_2040,output_2050
0,BE_gas,gas,BE_main,8730.6,11874.1,3143.5,7661.96446,0,0,0,0,1,30.0,39.0,49.0,const,0.0,1,const,1,0,-1.0,-1.0,mainland,8178.071763728463,10459.057987169323,10090.771569596385
1,BE_hydro,hydro,BE_main,1372.201996,1373.601997,1.400001525,0.0,0,0,0,0,1,25.0,25.0,25.0,const,0.6,1,const,1,0,-1.0,-1.0,mainland,824.1611982,825.0011991150005,825.0011991150005
2,BE_oil,oil,BE_main,158.0,158.0,0.0,-18.0,0,0,0,0,1,57.0,67.0,78.0,const,0.0,1,const,1,0,-1.0,-1.0,mainland,4.74,1.579999999999962,0.0
3,BE_nonres_other,nonres_other,BE_main,819.243568,730.5726469,-88.6709211,1.14e-13,0,0,0,0,1,35.0,51.0,68.0,const,0.0,1,const,1,0,-1.0,-1.0,mainland,22.986408480675124,6.419017258,6.375601713684546
4,BE_res_other,res_other,BE_main,903.6,903.6,0.0,0.0,0,0,0,0,1,74.0,61.0,50.0,const,0.0,1,const,1,0,-1.0,-1.0,mainland,19.66257101920614,9.035999999999982,9.036
5,BE_solar,solar,BE_main,17063.0,24733.955,7670.955,10900.52,0,0,0,0,1,0.0,0.0,0.0,const,0.0,1,solar_BE_main,1,0,-1.0,-1.0,mainland,3421.2006556000006,4482.247151200001,5990.0070776
6,BE_windon,windon,BE_main,5247.92,7053.465,1805.545,1580.99,0,0,0,0,1,0.0,0.0,0.0,const,0.0,1,windon_BE_main,1,0,-1.0,-1.0,mainland,2177.89838805,2735.3965176999995,3223.5588000000002
7,DE_coal,coal,DE_main,9030.9,9030.9,0.0,0.0,0,0,0,0,1,35.0,50.0,66.0,const,0.0,1,const,1,0,-1.0,-1.0,mainland,451.5450000000001,361.236,270.92699999999996
8,DE_gas,gas,DE_main,35057.227,50137.817,15080.59,4070.7,0,0,0,0,1,30.0,39.0,49.0,const,0.0,1,const,1,0,-1.0,-1.0,mainland,27272.914544601415,29903.65542731121,24556.819748292317
9,DE_hydro,hydro,DE_main,15054.53992,15189.53992,135.0,0.0,0,0,0,0,1,25.0,25.0,25.0,const,0.6,1,const,1,0,-1.0,-1.0,mainland,9113.723952000002,9194.723951999998,9194.723951999998
10,DE_oil,oil,DE_main,850.93,744.07,-106.86,-493.4,0,0,0,0,1,57.0,67.0,78.0,const,0.0,1,const,1,0,-1.0,-1.0,mainland,29.762800000000002,12.744200000000001,1.4381000000000006
11,DE_nonres_other,nonres_other,DE_main,8698.580078,8631.790039,-66.790039,0.0,0,0,0,0,1,35.0,51.0,68.0,const,0.0,1,const,1,0,-1.0,-1.0,mainland,443.8473312349251,299.328148951141,204.83207982268476
12,DE_res_other,res_other,DE_main,7570.4,8113.8,543.4,0.0,0,0,0,0,1,74.0,61.0,50.0,const,0.0,1,const,1,0,-1.0,-1.0,mainland,324.552,227.69559842454558,346.288
13,DE_solar,solar,DE_main,123439.82,188236.18,64796.36,53416.45,0,0,0,0,1,0.0,0.0,0.0,const,0.0,1,solar_DE_main,1,0,-1.0,-1.0,mainland,26773.779450966696,36077.37955319999,43693.4969942
14,DE_windon,windon,DE_main,84671.72,105914.68,21242.96,24417.02,0,0,0,0,1,0.0,0.0,0.0,const,0.0,1,windon_DE_main,1,0,-1.0,-1.0,mainland,28332.176899999995,34014.668699999995,40546.221549999995
15,DK_gas,gas,DK_main,1324.11,3366.095,2041.985,773.341662,0,0,0,0,1,30.0,39.0,49.0,const,0.0,1,const,1,0,-1.0,-1.0,mainland,128.85174381116224,64.5805644925739,75.69169523978773
16,DK_oil,oil,DK_main,811.39,804.39,-7.0,-525.97,0,0,0,0,1,57.0,67.0,78.0,const,0.0,1,const,1,0,-1.0,-1.0,mainland,8.0439,0.0,0.0
17,DK_nonres_other,nonres_other,DK_main,60.94136901,53.86669324,-7.074675775,0.0,0,0,0,0,1,35.0,51.0,68.0,const,0.0,1,const,1,0,-1.0,-1.0,mainland,0.5386669324,0.0,0.0
18,DK_res_other,res_other,DK_main,2506.274191,2114.589191,-391.685,-921.23,0,0,0,0,1,74.0,61.0,50.0,const,0.0,1,const,1,0,-1.0,-1.0,mainland,21.14589191,0.0,8.01674191
