desc,type,node,existing_2030,capacity_2035,capacity_2040,capacity_2050,expand_2035,expand_2040,expand_2050,pmin,allow_curtailment,fuelcost_2035,fuelcost_2040,fuelcost_2050,fuelcost_ref,pavg,inflow_fac,inflow_ref,cost_scaling,p_maxNew,lat,lon,comment
BE_gas,gas,BE_main,8730.6,11874.1,3143.5,7661.96446,0,0,0,0,1,30,39,49,const,0,1,const,1,0,,,mainland
BE_hydro,hydro,BE_main,1372.201996,1373.601997,1.400001525,0,0,0,0,0,1,25,25,25,const,0.6,1,const,1,0,,,mainland
BE_oil,oil,BE_main,158,158,0,-18,0,0,0,0,1,57,67,78,const,0,1,const,1,0,,,mainland
BE_nonres_other,nonres_other,BE_main,819.243568,730.5726469,-88.6709211,1.14E-13,0,0,0,0,1,35,51,68,const,0,1,const,1,0,,,mainland
BE_res_other,res_other,BE_main,903.6,903.6,0,0,0,0,0,0,1,74,61,50,const,0,1,const,1,0,,,mainland
BE_solar,solar,BE_main,17063,24733.955,7670.955,10900.52,0,0,0,0,1,0,0,0,const,0,1,solar_BE_main,1,0,,,mainland
BE_windon,windon,BE_main,5247.92,7053.465,1805.545,1580.99,0,0,0,0,1,0,0,0,const,0,1,windon_BE_main,1,0,,,mainland
DE_coal,coal,DE_main,9030.9,9030.9,0,0,0,0,0,0,1,35,50,66,const,0,1,const,1,0,,,mainland
DE_gas,gas,DE_main,35057.227,50137.817,15080.59,4070.7,0,0,0,0,1,30,39,49,const,0,1,const,1,0,,,mainland
DE_hydro,hydro,DE_main,15054.53992,15189.53992,135,0,0,0,0,0,1,25,25,25,const,0.6,1,const,1,0,,,mainland
DE_oil,oil,DE_main,850.93,744.07,-106.86,-493.4,0,0,0,0,1,57,67,78,const,0,1,const,1,0,,,mainland
DE_nonres_other,nonres_other,DE_main,8698.580078,8631.790039,-66.790039,0,0,0,0,0,1,35,51,68,const,0,1,const,1,0,,,mainland
DE_res_other,res_other,DE_main,7570.4,8113.8,543.4,0,0,0,0,0,1,74,61,50,const,0,1,const,1,0,,,mainland
DE_solar,solar,DE_main,123439.82,188236.18,64796.36,53416.45,0,0,0,0,1,0,0,0,const,0,1,solar_DE_main,1,0,,,mainland
DE_windon,windon,DE_main,84671.72,105914.68,21242.96,24417.02,0,0,0,0,1,0,0,0,const,0,1,windon_DE_main,1,0,,,mainland
DK_gas,gas,DK_main,1324.11,3366.095,2041.985,773.341662,0,0,0,0,1,30,39,49,const,0,1,const,1,0,,,mainland
DK_oil,oil,DK_main,811.39,804.39,-7,-525.97,0,0,0,0,1,57,67,78,const,0,1,const,1,0,,,mainland
DK_nonres_other,nonres_other,DK_main,60.94136901,53.86669324,-7.074675775,0,0,0,0,0,1,35,51,68,const,0,1,const,1,0,,,mainland
DK_res_other,res_other,DK_main,2506.274191,2114.589191,-391.685,-921.23,0,0,0,0,1,74,61,50,const,0,1,const,1,0,,,mainland
DK_solar,solar,DK_main,17187.89,24238.365,7050.475,13384.79,0,0,0,0,1,0,0,0,const,0,1,solar_DK_main,1,0,,,mainland
DK_windon,windon,DK_main,6057.92,7047.9,989.98,2779.34,0,0,0,0,1,0,0,0,const,0,1,windon_DK_main,1,0,,,mainland
NL_gas,gas,NL_main,13961.3,28595.8,14634.5,3430.07681,0,0,0,0,1,30,39,49,const,0,1,const,1,0,,,mainland
NL_hydro,hydro,NL_main,37.70000076,37.70000076,0,0,0,0,0,0,1,25,25,25,const,0.6,1,const,1,0,,,mainland
NL_nuclear,nuclear,NL_main,486,486,0,0,0,0,0,0,1,1.7,1.7,1.7,const,0,1,const,1,0,,,mainland
NL_nonres_other,nonres_other,NL_main,1796.824014,1357.158515,-439.6654992,0,0,0,0,0,1,35,51,68,const,0,1,const,1,0,,,mainland
NL_res_other,res_other,NL_main,3900,2250,-1650,0,0,0,0,0,1,74,61,50,const,0,1,const,1,0,,,mainland
NL_solar,solar,NL_main,50418.19,63666.275,13248.085,42555.06,0,0,0,0,1,0,0,0,const,0,1,solar_NL_main,1,0,,,mainland
NL_windon,windon,NL_main,9478.07,12539.53,3061.46,4399.25,0,0,0,0,1,0,0,0,const,0,1,windon_NL_main,1,0,,,mainland
SE_gas,gas,SE_main,110.789,5030.289,4919.5,-6493.11052,0,0,0,0,1,30,39,49,const,0,1,const,1,0,,,mainland
SE_hydro,hydro,SE_main,16447.1001,16447.1001,0,0,0,0,0,0,1,25,25,25,const,0.6,1,const,1,0,,,mainland
SE_nuclear,nuclear,SE_main,3687,3687,0,0,0,0,0,0,1,1.7,1.7,1.7,const,0,1,const,1,0,,,mainland
SE_res_other,res_other,SE_main,4754.76,4754.76,0,0,0,0,0,0,1,74,61,50,const,0,1,const,1,0,,,mainland
SE_solar,solar,SE_main,11813.45,16058.445,4244.995,9933.63,0,0,0,0,1,0,0,0,const,0,1,solar_SE_main,1,0,,,mainland
SE_windon,windon,SE_main,23333.12,29708.15,6375.03,6947.82,0,0,0,0,1,0,0,0,const,0,1,windon_SE_main,1,0,,,mainland
UK_gas,gas,UK_main,22930.87,37170.37,14239.5,15983.15085,0,0,0,0,1,30,39,49,const,0,1,const,1,0,,,mainland
UK_hydro,hydro,UK_main,4839.110107,4937.255005,98.14489746,0,0,0,0,0,1,25,25,25,const,0.6,1,const,1,0,,,mainland
UK_nuclear,nuclear,UK_main,4460,4460,0,1110,0,0,0,0,1,1.7,1.7,1.7,const,0,1,const,1,0,,,mainland
UK_oil,oil,UK_main,70.8,70.8,0,0,0,0,0,0,1,57,67,78,const,0,1,const,1,0,,,mainland
UK_nonres_other,nonres_other,UK_main,3599.665107,3292.297181,-307.3679263,0,0,0,0,0,1,35,51,68,const,0,1,const,1,0,,,mainland
UK_res_other,res_other,UK_main,6344.55,8029.025,1684.475,0,0,0,0,0,1,74,61,50,const,0,1,const,1,0,,,mainland
UK_solar,solar,UK_main,41678.51,63798.235,22119.725,31468.25,0,0,0,0,1,0,0,0,const,0,1,solar_UK_main,1,0,,,mainland
UK_windon,windon,UK_main,24179,30404.375,6225.375,24356.94,0,0,0,0,1,0,0,0,const,0,1,windon_UK_main,1,0,,,mainland
NO_OSTLAND_hydro,hydro,NO_OSTLAND,2820.738307,2814.819669,-5.918637974,0,0,0,0,0,1,25,25,25,const,0.6,1,const,1,0,,,mainland
NO_OSTLAND_nonres_other,nonres_other,NO_OSTLAND,265,265,0,0,0,0,0,0,1,35,51,68,const,0,1,const,1,0,,,mainland
NO_OSTLAND_solar,solar,NO_OSTLAND,1454.48505,2446.179402,793.3554817,396.6777409,0,0,0,0,1,0,0,0,const,0,1,solar_NO_OSTLAND,1,0,,,mainland
NO_OSTLAND_windon,windon,NO_OSTLAND,372.9798588,408.166638,49.26149079,24.6307454,0,0,0,0,1,0,0,0,const,0,1,windon_NO_OSTLAND,1,0,,,mainland
NO_OSTLAND_gas,gas,NO_OSTLAND,0,37.1183153,37.1183153,0,0,0,0,0,1,30,39,49,const,0,1,const,1,0,,,mainland
NO_SOROST_hydro,hydro,NO_SOROST,28.16378109,28.1046862,-0.059094892,0,0,0,0,0,1,25,25,25,const,0.6,1,const,1,0,,,mainland
NO_SOROST_solar,solar,NO_SOROST,270.4318937,454.8172757,147.5083056,73.75415282,0,0,0,0,1,0,0,0,const,0,1,solar_NO_SOROST,1,0,,,mainland
NO_HALLINGDAL_hydro,hydro,NO_HALLINGDAL,3106.590672,3100.072242,-6.518430114,0,0,0,0,0,1,25,25,25,const,0.6,1,const,1,0,,,mainland
NO_HALLINGDAL_solar,solar,NO_HALLINGDAL,665.1162791,1118.604651,362.7906977,181.3953488,0,0,0,0,1,0,0,0,const,0,1,solar_NO_HALLINGDAL,1,0,,,mainland
NO_HALLINGDAL_windon,windon,NO_HALLINGDAL,28.15335809,30.80933527,3.71836805,1.859184025,0,0,0,0,1,0,0,0,const,0,1,windon_NO_HALLINGDAL,1,0,,,mainland
NO_TELEMARK_hydro,hydro,NO_TELEMARK,2152.772431,2148.255358,-4.517072934,0,0,0,0,0,1,25,25,25,const,0.6,1,const,1,0,,,mainland
NO_TELEMARK_solar,solar,NO_TELEMARK,270.4318937,454.8172757,147.5083056,73.75415282,0,0,0,0,1,0,0,0,const,0,1,solar_NO_TELEMARK,1,0,,,mainland
NO_SORLAND_hydro,hydro,NO_SORLAND,4966.811144,4956.389491,-10.42165343,0,0,0,0,0,1,25,25,25,const,0.6,1,const,1,0,,,mainland
NO_SORLAND_solar,solar,NO_SORLAND,394.6843854,663.7873754,215.282392,107.641196,0,0,0,0,1,0,0,0,const,0,1,solar_NO_SORLAND,1,0,,,mainland
NO_SORLAND_windon,windon,NO_SORLAND,382.2600398,418.3223077,50.48717507,25.24358754,0,0,0,0,1,0,0,0,const,0,1,windon_NO_SORLAND,1,0,,,mainland
NO_VESTSYD_hydro,hydro,NO_VESTSYD,4059.007096,4050.49025,-8.516845919,0,0,0,0,0,1,25,25,25,const,0.6,1,const,1,0,,,mainland
NO_VESTSYD_solar,solar,NO_VESTSYD,423.9202658,712.9568106,231.2292359,115.6146179,0,0,0,0,1,0,0,0,const,0,1,solar_NO_VESTSYD,1,0,,,mainland
NO_VESTSYD_windon,windon,NO_VESTSYD,949.7587487,1039.358631,125.4398347,62.71991737,0,0,0,0,1,0,0,0,const,0,1,windon_NO_VESTSYD,1,0,,,mainland
NO_VESTMIDT_hydro,hydro,NO_VESTMIDT,6418.183449,6404.716441,-13.46700763,0,0,0,0,0,1,25,25,25,const,0.6,1,const,1,0,,,mainland
NO_VESTMIDT_solar,solar,NO_VESTMIDT,540.8637874,909.6345515,295.0166113,147.5083056,0,0,0,0,1,0,0,0,const,0,1,solar_NO_VESTMIDT,1,0,,,mainland
NO_VESTMIDT_windon,windon,NO_VESTMIDT,516.1448983,564.8378132,68.17008091,34.08504045,0,0,0,0,1,0,0,0,const,0,1,windon_NO_VESTMIDT,1,0,,,mainland
NO_NORGEMIDT_hydro,hydro,NO_NORGEMIDT,4777.993654,4767.968188,-10.02546554,0,0,0,0,0,1,25,25,25,const,0.6,1,const,1,0,,,mainland
NO_NORGEMIDT_solar,solar,NO_NORGEMIDT,350.8305648,590.0332226,191.3621262,95.68106312,0,0,0,0,1,0,0,0,const,0,1,solar_NO_NORGEMIDT,1,0,,,mainland
NO_NORGEMIDT_windon,windon,NO_NORGEMIDT,1841.933453,2015.70076,243.2742296,121.6371148,0,0,0,0,1,0,0,0,const,0,1,windon_NO_NORGEMIDT,1,0,,,mainland
NO_HELGELAND_hydro,hydro,NO_HELGELAND,2334.426088,2329.527859,-4.898229254,0,0,0,0,0,1,25,25,25,const,0.6,1,const,1,0,,,mainland
NO_HELGELAND_solar,solar,NO_HELGELAND,14.6179402,24.58471761,7.973421927,3.986710963,0,0,0,0,1,0,0,0,const,0,1,solar_NO_HELGELAND,1,0,,,mainland
NO_HELGELAND_windon,windon,NO_HELGELAND,606.3399159,663.5417948,80.0826304,40.0413152,0,0,0,0,1,0,0,0,const,0,1,windon_NO_HELGELAND,1,0,,,mainland
NO_TROMS_hydro,hydro,NO_TROMS,2304.705744,2299.869876,-4.835868291,0,0,0,0,0,1,25,25,25,const,0.6,1,const,1,0,,,mainland
NO_TROMS_solar,solar,NO_TROMS,7.3089701,12.2923588,3.986710963,1.993355482,0,0,0,0,1,0,0,0,const,0,1,solar_NO_TROMS,1,0,,,mainland
NO_TROMS_windon,windon,NO_TROMS,301.2148636,329.6313602,39.7830952,19.8915476,0,0,0,0,1,0,0,0,const,0,1,windon_NO_TROMS,1,0,,,mainland
