timestamp,windoff_NO_SoennavindA,windoff_NO_SoervestF,windoff_NO_SoervestB,windoff_NO_SoervestC,windoff_NO_VestavindF,windoff_NO_VestavindE,windoff_NO_VestavindB,windoff_NO_VestavindA,windoff_NO_NordvestC,windoff_NO_NordvestA,windoff_SE_3,windoff_DK_1,windoff_DK_2,windoff_DE_LU,windoff_NL_1,windoff_NL_2,windoff_BE,windoff_GB_mid,windoff_GB_sor,windoff_GB_scot,load_UK,load_DK,load_DE,load_NL,load_NO,load_SE,load_BE,solar_BE_main,solar_DE_main,solar_DK_main,solar_NL_main,solar_NO_OSTLAND,solar_NO_SOROST,solar_NO_HALLINGDAL,solar_NO_TELEMARK,solar_NO_SORLAND,solar_NO_VESTSYD,solar_NO_VESTMIDT,solar_NO_NORGEMIDT,solar_NO_HELGELAND,solar_NO_TROMS,solar_NO_FINNMARK,solar_SE_main,solar_UK_main,windon_BE_main,windon_DE_main,windon_DK_main,windon_NL_main,windon_NO_OSTLAND,windon_NO_SOROST,windon_NO_HALLINGDAL,windon_NO_TELEMARK,windon_NO_SORLAND,windon_NO_VESTSYD,windon_NO_VESTMIDT,windon_NO_NORGEMIDT,windon_NO_HELGELAND,windon_NO_TROMS,windon_NO_FINNMARK,windon_SE_main,windon_UK_main,const
2011-01-01 00:00:00+00:00,0.874,0.942,0.95,0.951,0.918,0.907,0.922,0.924,0.964,0.921,0.949,0.936,0.93,0.956,0.783,0.922,0.328,0.894,0.698,0.937,0.868365476,0.87805921,0.692666081,0.812980704,1.036810024,0.952585199,0.893029914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.196,0.482,0.948,0.442,0.895,0.876,0.903,0.936,0.943,0.87,0.57,0.505,0.053,0.178,0.377,0.39,0.124,1
2011-01-01 01:00:00+00:00,0.891,0.94,0.952,0.95,0.935,0.92,0.923,0.92,0.964,0.953,0.946,0.928,0.915,0.953,0.792,0.912,0.404,0.891,0.715,0.938,0.881193225,0.862193899,0.655986101,0.803072612,1.029185588,0.941786899,0.829435947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212,0.504,0.939,0.458,0.901,0.881,0.878,0.915,0.919,0.828,0.533,0.391,0.037,0.209,0.359,0.487,0.153,1
2011-01-01 02:00:00+00:00,0.903,0.946,0.955,0.956,0.943,0.929,0.922,0.92,0.96,0.964,0.954,0.931,0.909,0.95,0.796,0.905,0.47,0.885,0.723,0.94,0.877872805,0.837323952,0.62092787,0.774709339,1.035375724,0.930988598,0.760708669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.226,0.531,0.944,0.475,0.884,0.856,0.856,0.909,0.885,0.815,0.504,0.299,0.03,0.219,0.348,0.436,0.174,1
2011-01-01 03:00:00+00:00,0.931,0.952,0.959,0.961,0.949,0.936,0.925,0.926,0.949,0.959,0.964,0.935,0.919,0.953,0.806,0.873,0.516,0.894,0.742,0.94,0.836691192,0.815026758,0.602701687,0.745692784,1.030695377,0.918487863,0.72315056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.232,0.604,0.95,0.512,0.852,0.827,0.812,0.898,0.849,0.806,0.503,0.239,0.035,0.217,0.332,0.459,0.197,1
2011-01-01 04:00:00+00:00,0.951,0.956,0.961,0.963,0.953,0.942,0.934,0.93,0.944,0.955,0.96,0.937,0.942,0.955,0.782,0.88,0.536,0.891,0.716,0.941,0.795064053,0.807951687,0.597790917,0.718091671,1.028355204,0.921357682,0.6955267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234,0.609,0.952,0.542,0.799,0.728,0.75,0.881,0.826,0.797,0.496,0.246,0.053,0.189,0.302,0.545,0.226,1
2011-01-01 05:00:00+00:00,0.959,0.957,0.962,0.963,0.957,0.947,0.941,0.935,0.945,0.961,0.957,0.943,0.959,0.953,0.726,0.896,0.545,0.883,0.682,0.941,0.776671449,0.809666856,0.587258084,0.721085875,1.037111981,0.931620931,0.692646137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.239,0.612,0.942,0.52,0.735,0.683,0.698,0.875,0.823,0.787,0.477,0.246,0.066,0.184,0.281,0.582,0.253,1
2011-01-01 06:00:00+00:00,0.963,0.958,0.964,0.963,0.959,0.951,0.944,0.947,0.953,0.964,0.954,0.949,0.964,0.95,0.675,0.889,0.537,0.874,0.642,0.941,0.77519197,0.830034485,0.575575801,0.745992204,1.060664694,0.940668156,0.707270533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259,0.672,0.918,0.491,0.633,0.64,0.63,0.851,0.816,0.78,0.454,0.263,0.096,0.196,0.265,0.65,0.294,1
2011-01-01 07:00:00+00:00,0.964,0.962,0.964,0.964,0.961,0.955,0.951,0.957,0.961,0.964,0.955,0.956,0.963,0.944,0.653,0.867,0.509,0.872,0.616,0.938,0.793895602,0.843970231,0.592726508,0.770925754,1.082179191,0.962799808,0.706568858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.268,0.625,0.884,0.442,0.534,0.568,0.572,0.813,0.802,0.749,0.434,0.389,0.151,0.225,0.266,0.709,0.289,1
2011-01-01 08:00:00+00:00,0.964,0.964,0.963,0.963,0.963,0.959,0.958,0.962,0.963,0.964,0.956,0.96,0.963,0.936,0.608,0.854,0.462,0.864,0.595,0.933,0.834018044,0.866910613,0.611339635,0.799506788,1.107090713,0.975300543,0.708378442,0.002,0.006,0.079,0.005,0.002,0.005,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.269,0.587,0.86,0.372,0.436,0.492,0.565,0.754,0.77,0.712,0.396,0.536,0.24,0.268,0.287,0.819,0.299,1
2011-01-01 09:00:00+00:00,0.963,0.964,0.962,0.962,0.963,0.963,0.963,0.963,0.964,0.964,0.944,0.962,0.958,0.93,0.584,0.849,0.411,0.855,0.568,0.919,0.862128131,0.89456771,0.669221849,0.832415807,1.128227763,0.996118887,0.722670466,0.008,0.015,0.269,0.061,0.078,0.086,0.02,0.041,0.117,0.008,0.001,0.0,0.0,0.0,0.0,0.013,0.019,0.255,0.58,0.817,0.324,0.359,0.409,0.598,0.705,0.719,0.635,0.337,0.561,0.234,0.287,0.287,0.804,0.241,1
